business_name,email,phone,website,address,city,rating,reviews,category
"Rolan Property Management - Burnaby (1NE Collective Realty)","","46-777822357","https://linktr.ee/rolanproperty","6080 McKay AveClosed","6700 Dunblane st",5,,""
"RPM Re/max Crest Masters","","778-862-8321","http://www.rentalpropertymanagers.ca/","5050 Kingsway #1Open 24 hours","6700 Dunblane st",5,,""
"Uooi Property Management","","","http://www.uooi.com/","4388 Beresford St. #403AClosed","6700 Dunblane st",3.9,,""
"Arbour Place Apartments","privacy@quadreal.com","(604) 670-2745","https://quadrealresidential.com/burnaby/arbour-place/?utm_campaign=OrganicSearch","4769 Hazel StClosed","6700 Dunblane st",4.7,,""
"Hazel Apartments","privacy@quadreal.com","(604) 200-3588","https://quadrealresidential.com/burnaby/hazel/?utm_campaign=OrganicSearch","4733 Hazel StClosed","6700 Dunblane st",4.8,,""
"The Max Realty & Management","","604-227-3399","https://themaxrealty.com/","4300 N Fraser WyClosed","6700 Dunblane st",4.5,,""
"Greater Vancouver Tenant & Property Management Ltd.","clients@gvantpm.com","(604) 398-4047","https://www.gvantpm.com/","2025 Willingdon Ave #900Closed","6700 Dunblane st",4.5,,""
"Westwynd Realty","inquiries@westwyndrealty.com","(604) 944-8917","http://www.westwyndrealty.com/","3292 Production Way #501Closed","6700 Dunblane st",4.6,,""
"Transpacific Realty Advisors","service@transpacificrealty.com","604 873 8591","https://www.transpacificrealty.com/?utm_source=GMBlistings&utm_medium=organic&utm_campaign=websitelink","4300 N Fraser Wy #203Closed","6700 Dunblane st",3,,""
"Eco-World","service@eco-world.com","+1 (604) 438-0020","http://www.eco-world.com/","4211 Kingsway #220Closed","6700 Dunblane st",3.5,,""
"Raymond Dich - Burnaby Realtor","info@raydich.com","604-803-8988","http://www.raydich.com/","4900 Lennox Ln #3808Open 24 hours","6700 Dunblane st",5,,""
"The Park Metrotown","","","","4900 Lennox LnDirections","6700 Dunblane st",3.2,,""
"Calmora Property Management","info@calmoraproperties.com","1784820527956","https://www.calmoraproperties.com/","438 Gamma Ave Apt. 201Closed","6700 Dunblane st",5,,""
"Montecito Towers","","","","7376 Halifax St #7360Closed","6700 Dunblane st",3.2,,""
"Ascent Real Estate Management","ascent@ascentpm.com","1785161647784","http://www.ascentpm.com/","2176 Willingdon AveClosed","6700 Dunblane st",3.8,,""
"Strataco Management Ltd","managers@stratacomgmt.com","(604) 294-4141","http://strataco.ca/","4126 Norland Ave #101Closed","6700 Dunblane st",1.7,,""
"Assertive Northwest","","1998-2023","https://assertivenorthwest.com/","3847A Hastings StClosed","6700 Dunblane st",2.8,,""
"Dwell Property Management","","","","4311 Viking WayClosed","6700 Dunblane st",4.2,,""
"Strata Property Agents of British Columbia","info@spabc.org","604-618-9497","https://spabc.org/","3847B E Hastings St+1 604-618-9497WebsiteDirections","6700 Dunblane st",3,,""
"88West Realty","","","","88West RealtySponsored88West Realty  4.9(235)Estate Agent","6700 Dunblane st",4.9,,""
"Robert Almeida - Top Burnaby Realtor® Vancouver, New Westminster","robert@homesforbc.ca","604-862-8000","http://www.homesforbc.ca/","5050 Kingsway #1Open 24 hours","6700 Dunblane st",4.9,,""
"Team Vince Chan Real Estate - Burnaby Realtor","info@teamvincechan.com","604-813-8618","http://teamvincechan.com/","5050 Kingsway #1Closed","6700 Dunblane st",5,,""
"Josh Wong Personal Real Estate Corporation","hello@joshwongrealtor.com","778 288 8404","http://joshwongrealtor.com/","5050 KingswayClosed","6700 Dunblane st",5,,""
"Doris Gee & Phil Moore Real Estate Team","doris@dorisgee.com","604-250-0177","http://dorisgee.com/","5050 Kingsway #1Open 24 hours","6700 Dunblane st",4.8,,""
"RE/MAX Crest Realty - Burnaby","","1667202906580","http://www.remaxcrest.ca/","5050 Kingsway #1Closed","6700 Dunblane st",3.7,,""
"Macdonald Realty Burnaby","macrealty@macrealty.com","0 1024 1024","https://www.macrealty.com/","5501 Kingsway #201Closed","6700 Dunblane st",4.3,,""
"Dylan Moore Real Estate Agent","","","","5050 KingswayOpen 24 hours","6700 Dunblane st",5,,""
"Park Real Estate Associates Inc","","","https://www.parkrealestate.ca/","4700 Kingsway #1143Closed","6700 Dunblane st",4.7,,""
"MYLEN ALMENDAREZ REAL ESTATE","mylen@mylenrealty.com","778-994-6884","http://mylenalmendarez.com/","5489 Kingsway+1 778-994-6884WebsiteDirections  ""She made our home buying journey less stressful and smooth sailing.""","6700 Dunblane st",4.9,,""
"Cindy Zhang Personal Real Estate Corporation","","778-995-4318","http://cindyzhangteam.com/","5050 Kingsway #1+1 778-999-7899WebsiteDirections","6700 Dunblane st",3,,""
"Nu Stream Realty Inc","","1586770133","https://nustreamrealty.ca/","4555 Kingsway #100Closed","6700 Dunblane st",3.1,,""
"Metrotown Real Estate","","778-862-8321","http://www.metrotownrealestate.ca/","5050 Kingsway #1Closed","6700 Dunblane st",,,""
"Selmak Realty Ltd.","info@selmakrealty.com","604-456-0873","https://selmakrealty.ca/contact.html","6700 Dunblane Ave+1 604-456-0873WebsiteDirections","6700 Dunblane st",,,""
"Angie Zhang Team","","1000000 1000000","https://bchomehub.com/","","6700 Dunblane st",5,,""
"TIM LU PERSONAL REAL ESTATE CORPORATION","","","","5050 Kingsway #1Closed","6700 Dunblane st",,,""
"Tracy Niu","tracyniuteam@gmail.com","604-319-9922","https://tracyniu.com/","4555 Kingsway #100+1 604-319-9922WebsiteDirections  ""Tracy is very professional, trustworthy and reliable""","6700 Dunblane st",3.8,,""
