business_name,email,phone,website,address,city,rating,reviews,category
"Westwood Ridge Development Corporation","info@westwoodridge.ca","9237659520","https://www.westwoodridge.ca/","1333 W Broadway #900Closed","2250 Nanaimo Street",4.2,,""
"Downtown Suites Ltd.","info@downtownsuites.ca","2572575326","http://www.downtownsuites.ca/","1174 W Pender StClosed","2250 Nanaimo Street",4.3,,""
"Farid Entezari Personal Real Estate Corporation RE/MAX Crest","info@vpmgroup.ca","1136974604233337","http://www.vpmgroup.ca/","2609 Westview Dr #403Closed","2250 Nanaimo Street",5,,""
"Assertive Northwest","","1998-2023","https://assertivenorthwest.com/","3847A Hastings StClosed","2250 Nanaimo Street",2.8,,""
"Kingsgate Gardens","","","http://www.kingsgategardens.com/","470 KingswayOpen 24 hours","2250 Nanaimo Street",3.7,,""
"Axford Real Estate","","","","2326 Clarke StreetClosed","2250 Nanaimo Street",4.6,,""
"Turner Meakin","info@turnermeakin.com","604-736-7020","http://www.turnermeakin.com/contact-us/","","2250 Nanaimo Street",3.3,,""
"RHOME Property Management","IRoberts@associabc.ca","604.591.6060","https://www.rhomepm.ca/contact","","2250 Nanaimo Street",3.2,,""
"Dexter Properties Inc.,","team@liebermanhomes.com","604-351-9699","http://liebermanhomes.com/","","2250 Nanaimo Street",5,,""
"liv.rent","","","https://liv.rent/","","2250 Nanaimo Street",4.5,,""
"RentalPropertyManagers","","778-862-8321","http://www.rentalpropertymanagers.ca/","","2250 Nanaimo Street",5,,""
"Steve Kwok Realtor - RE/MAX City Realty","","604-551-1821","http://elitepag.ca/","2806 Kingsway #101Closed","2250 Nanaimo Street",5,,""
"KAP Management Ltd","","","","1668 W Broadway+1 604-669-9398Directions","2250 Nanaimo Street",,,""
"TPM Real Estate Management LTD","tpminfo@tpmmanagement.ca","1767040751318","http://tpmmanagement.ca/","2750 Rupert StClosed","2250 Nanaimo Street",3.1,,""
"C&C Property Group","admin@cccm.bc.ca","(604) 987-9040","http://cccm.bc.ca/","171 Esplanade W #530Closed","2250 Nanaimo Street",4.8,,""
"Bolld Real Estate Management","info@bolld.ca","8552668588","https://bolldpm.com/","2123 Granville St BClosed","2250 Nanaimo Street",4.1,,""
"Korecki Real Estate Services Inc.","info@korecki.ca","(604) 233-7772","http://www.korecki.ca/","1166 Alberni St #605Closed","2250 Nanaimo Street",4.3,,""
"Austeville Properties Ltd.","","604.216.5500","http://www.austeville.com/","1645 W 7th AveClosed","2250 Nanaimo Street",4.3,,""
"460 Property Management","info@460pm.com","250.591.4603","http://www.460pm.com/","460 Property Management460 Property Management  3.9(23)1551 Estevan Rd #3+1 250-591-4603WebsiteDirections","2250 Nanaimo Street",3.9,,""
"Real Property Management Vancouver","","(360) 883-4881","https://www.realpropertyvancouver.com/?cid=LSTL_RPM000203&utm_source=gmb&utm_campaign=local&utm_medium=organic","","2250 Nanaimo Street",4.2,,""
"Devon Properties","","1785325428","http://devonproperties.com/","","2250 Nanaimo Street",3.7,,""
"Scotiabank","","6323000000","https://locator.scotiabank.com/branch/63230","1108 Homer StClosed","2250 Nanaimo Street",2.3,,""
"Therapy X Clinic","hello@therapyx.ca","604 742 36881578","http://www.therapyx.ca/","1578 W BroadwayClosed","2250 Nanaimo Street",5,,""
"715 Motor Haus","","","https://715motorhaus.ca/?utm_campaign=gmb","715 Motor Haus715 Motor Haus  4.8(431)Used car dealer","2250 Nanaimo Street",4.8,,""
"The Three Brits Public House","threebrits@freehouse.co","604-801-6681","https://www.freehouse.co/locations/three-brits","1780 Davie StBeachfront hub for craft brews & eatsClosed","2250 Nanaimo Street",4.1,,""
"Direct Liquidation","admin@directliquidation.ca","1641243328699","https://www.directliquidation.ca/","1246 Lynn Valley RdClosed","2250 Nanaimo Street",5,,""
"Obsidian Athletic Club North Vancouver","info@obsidianathleticclub.com","1785099294987","http://obsidianathleticclub.com/","949 3rd St W #125Opens soon","2250 Nanaimo Street",4.3,,""
"The Max Realty & Management","","604-227-3399","https://themaxrealty.com/","4300 N Fraser WyClosed","2250 Nanaimo Street",4.5,,""
"Stanley Park Pavilion","info@stanleyparkpavilion.com","604.602.3088","http://www.stanleyparkpavilion.com/","610 Pipeline RdPremium banquet venue, plus bar & grillClosed","2250 Nanaimo Street",4.5,,""
"Unique Accommodations","info@uniqueaccommodations.com","(117 117 117","https://www.uniqueaccommodations.com/","1413 Bewicke AveClosed","2250 Nanaimo Street",4.6,,""
"Macdonald Commercial","info@macdonaldcommercial.com","604-736-5611","https://www.macdonaldcommercial.com/","1827 W 5th AveClosed","2250 Nanaimo Street",3.3,,""
"Corbel Commercial Real Estate Services Inc.","info@corbelcommercial.com","(49.2790557","http://www.corbelcommercial.com/","632 Citadel ParadeClosed","2250 Nanaimo Street",4.8,,""
"Cushman & Wakefield - Commercial Real Estate Services","","+1 604 683 3111","https://www.cushmanwakefield.com/en/canada/offices/vancouver?utm_source=google&utm_medium=organic&utm_campaign=gmb_uberall_CAN002","700 W Georgia StClosed","2250 Nanaimo Street",2.5,,""
"Paradigm Group Commercial Real Estate Services","Jordan@ParadigmVancouver.com","604.398.8836","http://www.paradigmvancouver.com/","2590 Granville St #203Closed","2250 Nanaimo Street",5,,""
"William Wright Commercial","sales@williamwright.ca","3
604-428-5255","https://www.williamwright.ca/","605 Robson St #1340Closed","2250 Nanaimo Street",4.9,,""
"NAI Commercial Vancouver","","7-277615660","https://www.naibc.ca/","1075 W Georgia St #1300Closed","2250 Nanaimo Street",3.2,,""
"Avison Young","webleads-bcc@avisonyoung.com","20251028152627","https://www.avisonyoung.ca/web/vancouver?utm_source=google&utm_medium=gmb","","2250 Nanaimo Street",3,,""
"Lee & Associates Vancouver","","604.684.7117","https://leevancouver.com/","475 W Georgia St Suite 800Closed","2250 Nanaimo Street",2.8,,""
"Gordon Kleaman PREC* - Babych Group Realty Vancouver Ltd.","gkleaman@gmail.com","604-980-3003","https://babychgrouprealty.com/gordon-kleaman/","1 Lonsdale AveClosed","2250 Nanaimo Street",5,,""
"Broadhurst & Whitaker","","","https://broadhurstwhitaker.com/","3493 Commercial StWebsiteDirections","2250 Nanaimo Street",,,""
"Transpacific Realty Advisors","service@transpacificrealty.com","604 873 8591","https://www.transpacificrealty.com/?utm_source=GMBlistings&utm_medium=organic&utm_campaign=websitelink","4300 N Fraser Wy #203Closed","2250 Nanaimo Street",3,,""
"Babych Group Realty","hello@babychgroup.com","604-980-3003","https://babychgrouprealty.com/","1 Lonsdale AveClosed","2250 Nanaimo Street",5,,""
"Forman Pilkington Team - Babych Group Commercial","info@formanpilkington.com","604-980-3003","http://www.formanpilkington.com/","1 Lonsdale Ave #201Closed","2250 Nanaimo Street",5,,""
"2250 Nanaimo St","","","","2250 Nanaimo St2250 Nanaimo St  No reviewsVancouver, BC V5N 5C9Canadaof 2250 Nanaimo Street, Vancouver, BC","2250 Nanaimo Street",,,""
"2250 Nanaimo St of","","","","2250 Nanaimo St of2250 Nanaimo St of  No reviewsVancouver, BC V5N 5C9Canadaof 2250 Nanaimo Street, Vancouver, BC","2250 Nanaimo Street",,,""
"SoMa Apartments Ltd.","melanie.kovacs@telus.com","266053513407178","http://terracrestpm.com/","30 E 10th AveClosed","2250 Nanaimo Street",5,,""
"Rancho Management Services (B.C.) Ltd.","pmgr@ranchogroup.com","(604) 684-4508","http://www.ranchovan.com/","1125 Howe St 8th FloorClosed","2250 Nanaimo Street",3.6,,""
"Tribe Management Inc","","1776993161532","https://www.tribemgmt.com/","1166 Alberni St #1606Closed","2250 Nanaimo Street",2.3,,""
"BC Strata Employee Management Ltd.","bcstratas@gmail.com","5.604-314-5352","http://www.bcstrataemployeemgmt.ca/","700 W Pender St Office 8, 303Closed","2250 Nanaimo Street",4.9,,""
"Stratawest Management Ltd","info@stratawest.com","604-904-9595","https://stratawest.com/","224 Esplanade W #202Closed","2250 Nanaimo Street",3.8,,""
"Ascent Real Estate Management","ascent@ascentpm.com","1785263026615","http://www.ascentpm.com/","2176 Willingdon AveClosed","2250 Nanaimo Street",3.8,,""
"FirstService Residential Vancouver","","(855) 683-8900","https://www.fsresidential.com/british-columbia/offices/vancouver-bc","200 Granville St #700Closed","2250 Nanaimo Street",4.1,,""
"Strataco Management Ltd","managers@stratacomgmt.com","(604) 294-4141","http://strataco.ca/","4126 Norland Ave #101Closed","2250 Nanaimo Street",1.7,,""
"Colyvan Pacific","605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com","1785134859568","https://colyvanpacific.com/","1100 Melville StClosed","2250 Nanaimo Street",3,,""
"The Wynford Group","property@wynford.com","604 261 0285","http://wynford.com/","1200 W 73rd Ave #815Closed","2250 Nanaimo Street",2.8,,""
"Associa British Columbia","Craig.Rumsby@associabc.ca","1001-7445 132","https://www.associaonline.com/locations/associa-british-columbia-inc","1385 W 8th Ave #355Closed","2250 Nanaimo Street",3.9,,""
"West Coast Property Management","info@westcoastpm.ca","604-914-2135","http://www.westcoastpm.ca/","1301 Ketch Ct Unit 1Closed","2250 Nanaimo Street",4,,""
"Strata Property Agents of British Columbia","info@spabc.org","604-618-9497","https://spabc.org/","3847B E Hastings St+1 604-618-9497WebsiteDirections","2250 Nanaimo Street",3,,""
"Maria Senajova - Personal Real Estate Corporation","maria@vancouverurbanhomes.com","604.657.1110","https://www.vancouverurbanhomes.com/","35 E 5th AveClosed","2250 Nanaimo Street",5,,""
"Stilhavn Real Estate Services","info@stilhavn.com","604.398.7999","https://stilhavn.com/","36 E 5th AveClosed","2250 Nanaimo Street",4,,""
"Renanza Realty Inc","info@renanza.com","71.029 71.029","http://www.renanza.com/","777 Hornby St Suite 600Closed","2250 Nanaimo Street",5,,""
"Vancouver Real Estate Agent Josh Kepkay - REAL Broker","","","https://vancouverrealestatetoday.ca/","666 Burrard StClosed","2250 Nanaimo Street",5,,""
"Mike Stewart Realtor - Personal Real Estate Corporation","mike@mikestewart.ca","604-265-9356","http://www.mikestewart.ca/","1286 Homer St #400Open 24 hours","2250 Nanaimo Street",4.7,,""
"Engel & Völkers Vancouver","","","https://vancouver.evrealestate.com/","1152 Mainland St #130Closed","2250 Nanaimo Street",4.3,,""
"Ben Kay PREC* - Greater Vancouver Realtor (@TheCondoAgent)","ben@benkay.ca","1471478023798","http://www.benkay.ca/","1050 Howe StOpen 24 hours","2250 Nanaimo Street",5,,""
"Ace Partners Real Estate","bugreport@moatable.com","1785325860","http://www.acepartners.ca/","","2250 Nanaimo Street",5,,""
"A Team Vancouver Realtors - Engel & Völkers - Adam Pospischil","info@ateamvancouver.com","778-837-2339","https://www.ateamvancouver.com/","2126 W 41st AveClosed","2250 Nanaimo Street",4.9,,""
"Aidin Ashkieh PREC*- Vancouver Realtor and Property Manager- RE/MAX","info@liftrealtygroup.ca","501-15733 85","https://www.liftrealtygroup.ca/","1195 W Broadway 3rd floorOpen 24 hours","2250 Nanaimo Street",5,,""
"Real Estate Leads","info@realestateleads.ca","1800-728-6577","http://www.realestateleads.ca/","422 Richards StClosed","2250 Nanaimo Street",5,,""
"Framework Marketing Inc.","info@frameworkgroup.ca","(604) 626-2725","http://frameworkgroup.ca/","254 E 2nd AveClosed","2250 Nanaimo Street",5,,""
"GUY CHRISTIE Real Estate - Oakwyn Realty","guy@guychristie.com","604-218-1971","https://www.guychristie.com/","3195 Oak StOpen 24 hours","2250 Nanaimo Street",5,,""
"Blu Realty","","0951334938822","https://www.remax.ca/bc/vancouver-real-estate/405-2250-nanaimo-street-wp_idm00000671-r3133811-lst","988 Beach Ave Unit 115Closed","2250 Nanaimo Street",4.5,,""
"Oakwyn Realty","info@oakwyn.com","400-1286","https://www.oakwyn.com/","","2250 Nanaimo Street",3.6,,""
"Royal LePage Sussex","sunnytung@royallepage.ca","604.925.2911","https://www.royallepage.ca/en/office/british-columbia/west-vancouver/royal-lepage-sussex/5793/","","2250 Nanaimo Street",3.4,,""
"Nels Agerbo | Vancouver Real Estate Advisor | Blu Realty","nels@nelsagerbo.com","604.767.9534","http://www.nelsagerbo.com/","","2250 Nanaimo Street",5,,""
"Paul Masoumi","info@paulmasoumi.com","604.789.9393","http://www.paulmasoumi.com/","","2250 Nanaimo Street",5,,""
"Yusuf Amiry Group","bugreport@moatable.com","1785325998","http://www.yagroup.ca/","","2250 Nanaimo Street",5,,""
"Clair Rockel PREC* - The Rockel Group - Macdonald Realty Vancouver","rockelgroup@macrealty.com","778.899.0999","http://www.therockelgroup.com/","","2250 Nanaimo Street",5,,""
"Shannon Marin, Luxx Life Canada Real Estate Group, eXp Realty","marinmarketing1@gmail.com","1785323937770","http://shannonmarin.com/","","2250 Nanaimo Street",4.6,,""
"Ali Vosough - Vancouver Realtor","alivosough@icloud.com","888590189342","https://alivosough.com/","","2250 Nanaimo Street",,,""
"RE/MAX Crest Realty – South Granville","","1667202906580","http://www.remaxcrest.ca/","","2250 Nanaimo Street",3.8,,""
"Spokes Bicycle Rentals","","604.688.5141","http://spokesbicyclerentals.com/","1798 W Georgia StClosed","2250 Nanaimo Street",4.6,,""
"Minji Mortgage","minji.s.co@gmail.com","1785273735017","https://www.minjimortgage.ca/","1200 W 73rd AveClosed","2250 Nanaimo Street",5,,""
"Erin Greenwood REALTOR","erin.greenwood@theagencyre.com","250 864 5877","https://eringreenwood.com/","960 Yates St #101Open 24 hours","2250 Nanaimo Street",5,,""
"Devesh Dhir - Mortgage Professional","devesh@deveshdhir.com","778-960-2855","https://www.deveshdhir.com/","1385 W 8th Ave #105Closed","2250 Nanaimo Street",5,,""
"Block 1910","","","https://block1910.com/","2112 Prince Edward St+1 604-738-8883WebsiteDirections","2250 Nanaimo Street",,,""
"Pillar To Post Home Inspectors","","","https://vancouver.pillartopost.com/","649 W 23rd AveClosed","2250 Nanaimo Street",5,,""
"Blu Realty: Neal + Tracy Uchida","sales@myeastvan.com","604.767.9534","http://myeastvan.com/","86 KingswayOpen 24 hours","2250 Nanaimo Street",,,""
"Larter Inspections","","(604) 319-4436","http://www.larterinspections.com/","410 E 19th AveClosed","2250 Nanaimo Street",4.7,,""
"National Car Rental","","20260612104907","https://www.nationalcar.ca/en/car-rental-locations/ca/bc/north-vancouver-y175.html?mcid=yext:245709","195 Pemberton AveClosed","2250 Nanaimo Street",3,,""
"Thrifty Car Rental - Vancouver Downtown Bc Ca Tle","","","https://www.thrifty.com/us/en/location/canada/britishcolumbia/vancouver/yvrc60?utm_campaign=gmb-Thrifty-Car-Rental---Vancouver-Downtown-Bc-Ca-Tle&utm_medium=gmb-websitelink&utm_source=Google","413 Seymour StClosed","2250 Nanaimo Street",2.8,,""
"Bell Alliance","info@bellalliance.ca","604 873 8723","http://www.bellalliance.ca/","1367 W Broadway #201Closed","2250 Nanaimo Street",4.6,,""
"Fraser Valley Real Estate Board","","2766761136080","http://fvreb.bc.ca/","15463 104 AveClosed","2250 Nanaimo Street",4.3,,""
"Alamo Rent A Car","","+1 833-619-3650","https://www.alamo.ca/en/car-rental-locations/ca/bc/vancouver-international-airport-c487.html?mcid=yext:245709","3211 Grant McConachie WyClosed","2250 Nanaimo Street",4.1,,""
"Zegarra Residential Inspections","info@zegarra.ca","778.898.6831","http://www.zegarrahomeinspections.com/","6100 Oak StClosed","2250 Nanaimo Street",5,,""
"the Card Torner group","sold@searchhomes.info","604-330-9901","https://searchhomes.info/_en/page/about-us","1126 Austin Ave+1 604-330-9901WebsiteDirections","2250 Nanaimo Street",,,""
"BC Auto Appraisals","info@bcautoappraisals.ca","1-888-255-5324","http://bcautoappraisals.ca/","3711 Delbrook Ave Unit 109Closed","2250 Nanaimo Street",5,,""
"Bodewell","info@bodewell.ca","(604) 633-5511","http://bodewell.ca/","","2250 Nanaimo Street",4.6,,""
