business_name,email,phone,website,address,city,rating,reviews,category
"New Century Real Estate Ltd","keiko@new-c.com","99329331338489061185","http://www.new-c.com/","535 Howe StClosed","Nanaimo St & E 1st Ave",,,""
"Barbican Property Management","Office@BarbicanPM.ca","1625-1631 56","https://www.barbicanpm.ca/","","Nanaimo St & E 1st Ave",1,,""
"Bodewell","info@bodewell.ca","(604) 633-5511","http://bodewell.ca/","","Nanaimo St & E 1st Ave",4.6,,""
"Bolld Real Estate Management","info@bolld.ca","8552668588","https://bolldpm.com/","2123 Granville St BClosed","Nanaimo St & E 1st Ave",4.1,,""
"Patty Ho PREC","","","http://vanpm.com/","2590 Granville St #204Open 24 hours","Nanaimo St & E 1st Ave",4,,""
"Austeville Properties Ltd.","","604.216.5500","http://www.austeville.com/","1645 W 7th AveClosed","Nanaimo St & E 1st Ave",4.3,,""
"liv.rent","","","https://liv.rent/","1601 Bayshore Dr. Ste 1AClosed","Nanaimo St & E 1st Ave",4.5,,""
"Turner Meakin","info@turnermeakin.com","604-736-7020","http://www.turnermeakin.com/contact-us/","1177 W Broadway Ste 300Closed","Nanaimo St & E 1st Ave",3.3,,""
"Cindys Palace","","1.6600000000000001","http://cindyspalace.zomi.menu/","1796 Nanaimo StCasual spot for dim sum & Chinese dishesClosed","Nanaimo St & E 1st Ave",3.9,,""
"Vancouver Luxury Rentals","","604.899.0220","https://www.vancouverluxuryrentals.com/","2590 Granville St #204Closed","Nanaimo St & E 1st Ave",4,,""
"Affordable Housing Management","","","","16 N Nanaimo St+1 604-669-6846Directions","Nanaimo St & E 1st Ave",5,,""
"Vancouver Rental Group","sevaroberts@gmail.com","604.537.4399","https://www.vancouverrentalgroup.ca/?utm_source=google&utm_medium=gbp","1428 W 7th AveClosed","Nanaimo St & E 1st Ave",4.5,,""
"Unique Accommodations","info@uniqueaccommodations.com","(117 117 117","https://www.uniqueaccommodations.com/","1413 Bewicke AveClosed","Nanaimo St & E 1st Ave",4.6,,""
"RentalPropertyManagers","","778-862-8321","http://www.rentalpropertymanagers.ca/","3631 Number 3 Rd #290Closed","Nanaimo St & E 1st Ave",5,,""
"J.M. Property Management Ltd.","","","","1010 Howe StClosed","Nanaimo St & E 1st Ave",4.8,,""
"Widsten Property Management Inc.","","250-753-8200","https://islandrent.com/","311 Selby StClosed","Nanaimo St & E 1st Ave",4,,""
"RE/MAX Rental Pros","","250-585-9445","https://remaxrentalpros.com/","5140 Metral Dr #1Closed","Nanaimo St & E 1st Ave",4.6,,""
"Corbel Commercial Real Estate Services Inc.","info@corbelcommercial.com","(49.2790557","http://www.corbelcommercial.com/","632 Citadel ParadeClosed","Nanaimo St & E 1st Ave",4.8,,""
"William Wright Commercial","sales@williamwright.ca","3
604-428-5255","https://www.williamwright.ca/","605 Robson St #1340Closed","Nanaimo St & E 1st Ave",4.9,,""
"Paradigm Group Commercial Real Estate Services","Jordan@ParadigmVancouver.com","604.398.8836","http://www.paradigmvancouver.com/","2590 Granville St #203Closed","Nanaimo St & E 1st Ave",5,,""
"NAI Commercial Vancouver","","1419240516480","https://www.naibc.ca/","1075 W Georgia St #1300Closed","Nanaimo St & E 1st Ave",3.2,,""
"Lee & Associates Vancouver","","604.684.7117","https://leevancouver.com/","475 W Georgia St Suite 800Closed","Nanaimo St & E 1st Ave",2.8,,""
"Avison Young","webleads-bcc@avisonyoung.com","504-6983-1396-6204","https://www.avisonyoung.ca/web/vancouver?utm_source=google&utm_medium=gmb","","Nanaimo St & E 1st Ave",3,,""
"Rent It Now","","","","419 Pacific StClosed","Nanaimo St & E 1st Ave",4.1,,""
"Basepoint Real Estate Group Corp.","contact@basepointpm.com","(604) 558-8660","https://www.basepointpm.com/","999 W Broadway #720Closed","Nanaimo St & E 1st Ave",3.4,,""
"Gordon Kleaman PREC* - Babych Group Realty Vancouver Ltd.","info@kleaman.com","9473720867","http://www.kleaman.com/","1 Lonsdale AveClosed","Nanaimo St & E 1st Ave",5,,""
"Forman Pilkington Team - Babych Group Commercial","info@formanpilkington.com","604-980-3003","http://www.formanpilkington.com/","1 Lonsdale Ave #201Closed","Nanaimo St & E 1st Ave",5,,""
"Babych Group Realty","dariancstadnyk@gmail.com","604-980-3003","https://babychgrouprealty.com/","1 Lonsdale AveClosed","Nanaimo St & E 1st Ave",5,,""
"The Westridge by Concert Properties (Rental Apartments)","","","https://rent.concertproperties.com/vancouver/the-westridge","4170-4180 Nanaimo St+1 250-871-9104WebsiteDirections  ""Right next to SkyTrain.""","Nanaimo St & E 1st Ave",3.6,,""
"Hollyburn Properties Limited","","(999) 999-9999","https://www.hollyburn.com/?utm_source=google-my-business&utm_medium=organic","1155 W Pender St #203Closed","Nanaimo St & E 1st Ave",4.1,,""
"Onehive Property Management","info@onehivepm.com","778-386-2058","https://www.onehivepm.com/","777 Hornby St Suite 600Closed","Nanaimo St & E 1st Ave",5,,""
"Fynn Rental Homes","","","","3435 Sawmill Cres  ""It has an excellent gym, a guest suite, an event room, and a BBQ area.""","Nanaimo St & E 1st Ave",4.3,,""
"BC Strata Employee Management Ltd.","bcstratas@gmail.com","5.604-314-5352","http://www.bcstrataemployeemgmt.ca/","700 W Pender St Office 8, 303Closed","Nanaimo St & E 1st Ave",4.9,,""
"Tribe Management Inc","","1776993161532","https://www.tribemgmt.com/","1166 Alberni St #1606Closed","Nanaimo St & E 1st Ave",2.3,,""
"Strata Shop For Strata and Property Managers","","","https://stratashop.ca/","2055 Commercial DrWebsiteDirections","Nanaimo St & E 1st Ave",,,""
"Stratawest Management Ltd","info@stratawest.com","604-904-9595","https://stratawest.com/","224 Esplanade W #202Closed","Nanaimo St & E 1st Ave",3.8,,""
"Rancho Management Services (B.C.) Ltd.","pmgr@ranchogroup.com","(604) 684-4508","http://www.ranchovan.com/","1125 Howe St 8th FloorClosed","Nanaimo St & E 1st Ave",3.6,,""
"Strata Plan","","","","28 Powell StClosed","Nanaimo St & E 1st Ave",,,""
"Dwell Property Management","","","http://www.dwellproperty.ca/","4311 Viking WyClosed","Nanaimo St & E 1st Ave",4.2,,""
"C&C Property Group","admin@cccm.bc.ca","(604) 987-9040","http://cccm.bc.ca/","171 Esplanade W #530Closed","Nanaimo St & E 1st Ave",4.8,,""
"Strata Property Agents of British Columbia","info@spabc.org","604-618-9497","https://spabc.org/","3847B E Hastings St+1 604-618-9497WebsiteDirections","Nanaimo St & E 1st Ave",3,,""
"Associa British Columbia","Craig.Rumsby@associabc.ca","1001-7445 132","https://www.associaonline.com/locations/associa-british-columbia-inc","1385 W 8th Ave #355Closed","Nanaimo St & E 1st Ave",3.9,,""
"Owners of Strata Corporation","","","","155 1st St E+1 604-924-0663Directions","Nanaimo St & E 1st Ave",,,""
"Ascent Real Estate Management","ascent@ascentpm.com","1785161647784","http://www.ascentpm.com/","2176 Willingdon AveClosed","Nanaimo St & E 1st Ave",3.8,,""
"Strataco Management Ltd","managers@stratacomgmt.com","(604) 294-4141","http://strataco.ca/","4126 Norland Ave #101Closed","Nanaimo St & E 1st Ave",1.7,,""
"Colyvan Pacific","605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com","1785329803868","https://colyvanpacific.com/","1100 Melville StClosed","Nanaimo St & E 1st Ave",3,,""
"Grace Point Strata Management","","","http://www.gpstrata.com/","2440 E Wellington Rd+1 250-802-5124WebsiteDirections","Nanaimo St & E 1st Ave",2.5,,""
"Westcoast Strata","","","","6421 Applecross RdClosed","Nanaimo St & E 1st Ave",2.9,,""
"Strata Plan LM S447","","","","1327 E Keith Rd+1 604-985-7982Directions","Nanaimo St & E 1st Ave",2.3,,""
"Power Strata Systems Inc","info@powerstrata.com","1.2229621","http://www.powerstrata.com/","901 3rd St W #207Closed","Nanaimo St & E 1st Ave",4.5,,""
"The Wynford Group","property@wynford.com","604 261 0285","http://wynford.com/","1200 W 73rd Ave #815Closed","Nanaimo St & E 1st Ave",2.8,,""
"Blueprint Strata Management Inc.","info@blueprintstrata.com","604-200-1030","http://www.blueprintstrata.com/","1548 Johnston Rd #208Closed","Nanaimo St & E 1st Ave",4.5,,""
"Peninsula Strata Management Ltd.","","202-2626","https://www.peninsulastrata.com/","2626 Croydon Dr #202Closed","Nanaimo St & E 1st Ave",3.9,,""
"Strata Assembly","","","http://www.stataassembly.com/","889 W Pender St #501Closed","Nanaimo St & E 1st Ave",5,,""
"Alliance Strata Property Services Inc.","info@alliancestrata.com","(250) 951-0851","https://alliancestrata.com/","198 Island Hwy E Unit 325Closed","Nanaimo St & E 1st Ave",3.5,,""
"STRATACARE PROPERTY SERVICES","info@stratacare.ca","778-682-6444","http://stratacare.ca/","4720 KingswayClosed","Nanaimo St & E 1st Ave",5,,""
"StrataReports","info@stratareports.ca","20262027202820292030","https://www.stratareports.ca/","939 Expo BlvdOpen 24 hoursWebsiteDirections","Nanaimo St & E 1st Ave",4.8,,""
"Strata","","","","601 W BroadwayDirections","Nanaimo St & E 1st Ave",,,""
"Century 21 Prudential Estates (RMD) Ltd.","","4477581463","https://century21pel.com/","7320 Westminster HwyClosed","Nanaimo St & E 1st Ave",2.6,,""
"Strata Corporation NW","","","","4803 48 Ave+1 604-940-4519Directions","Nanaimo St & E 1st Ave",5,,""
"Strata Reserve Planning","clientcare@stratareserveplanning.com","+1 604-438-4960","http://stratareserveplanning.com/","999 W Broadway #720Closed","Nanaimo St & E 1st Ave",1,,""
"AWM Alliance Real Estate Group Ltd. - Vancouver","","","https://awmalliance.com/home","958 W 8th Ave #401Closed","Nanaimo St & E 1st Ave",3.2,,""
"Axis Strata Management","","1785329941837843824","http://www.axisstrataman.ca/","8560 109b StClosed","Nanaimo St & E 1st Ave",2.7,,""
"OneStrata","","2011-2012","http://onecondo.ca/","475 Howe St #1022+1 604-288-9807WebsiteDirections","Nanaimo St & E 1st Ave",,,""
"Crossroads Management Ltd","","","http://crpm.ca/","","Nanaimo St & E 1st Ave",2.3,,""
"Quay Pacific Property Management Ltd","info@quaypacific.com","206-9440 202","http://quaypacific.com/","2619 St Johns StClosed","Nanaimo St & E 1st Ave",4,,""
"Stratasphere Online","info@stratasphere.online","(250) 753-0353","http://www.stratasphere.online/","630 Terminal Ave NClosed","Nanaimo St & E 1st Ave",,,""
"Fraser Campbell Property Management Ltd","info@frasercampbell.com","1785316142094","https://www.frasercampbell.com/","5500 152 St #210Closed","Nanaimo St & E 1st Ave",2.2,,""
"Strataji","","","https://www.strataji.ca/","422 Richards St #300Closed","Nanaimo St & E 1st Ave",,,""
"Stratomat","info@stratomat.ca","+1 (778)-329-4615","http://www.stratomat.ca/","138 W 6th AveOpen 24 hours","Nanaimo St & E 1st Ave",,,""
"Stratapro Solutions","","","http://www.strataprosolutions.ca/","10463 150 StOpen","Nanaimo St & E 1st Ave",4.9,,""
"TerraCrest Landscaping","info@terracrestlandscaping.com","778-939-6144","https://terracrestlandscaping.com/","252 Esplanade WClosed","Nanaimo St & E 1st Ave",5,,""
"Strata Nw2948","","","","22222 119 Ave+1 604-463-0763Directions","Nanaimo St & E 1st Ave",5,,""
"The Agency Vancouver","","","http://theagencyre.com/vancouver","129 W 1st StClosed","Nanaimo St & E 1st Ave",5,,""
"Smith & Coxford Rentals","info@rentingvancouver.ca","778-835-5621","https://rentingvancouver.ca/","1965 W 4th Ave #101Closed","Nanaimo St & E 1st Ave",4.3,,""
"Sutton Group - 1st West Realty Burnaby","welcome@sutton.com","604.942.7211","http://sutton1stwest.com/","3012 Boundary RdClosed","Nanaimo St & E 1st Ave",3,,""
"TRG Realty","admin@trgrealty.ca","604-629-6100","http://trgrealty.ca/","1965 W 4th Ave #101Closed","Nanaimo St & E 1st Ave",4.5,,""
"The Agency","info@theagencyrem.com","1647549335288","https://www.theagencyrem.com/","849 Homer StClosed","Nanaimo St & E 1st Ave",1,,""
"Helen Choi Personal Real Estate Corporation : Sutton Group","IamHelenChoi@gmail.com","604-612-5424","http://helenchoi.com/","3012 Boundary Rd+1 604-612-5424WebsiteDirections  ""Amazing realtor to be working with!""","Nanaimo St & E 1st Ave",5,,""
"Kip Smith","info@kipsmithhomes.com","500-10001000-15001500","https://kipsmithhomes.com/","","Nanaimo St & E 1st Ave",5,,""
"Nanaimo St","","","","","Nanaimo St & E 1st Ave",,,""
